address_details,business_hours,button_link,contact,description,directions_link,gallery_images,hero_image_link,map_link,site,sub_heading,telephone,testimonials,title
"18 East 33rd Street, New York, NY 10016, USA","Mon: 11:00AM - 12:00AM, Tue: 11:00AM - 12:00AM, Wed: 11:00AM - 12:00AM, Thu: 11:00AM - 2:00AM, Fri: 11:00AM - 2:00AM, Sat: 11:00AM - 2:00AM, Sun: 12:00PM12:00AM",View Menu -> http://places.singleplatform.com/captains-cafe-33/menu?ref=google,(212) 779-0003,"About Us!
We are a two location business! That's right we are side by side and offer different menus. 
33 Captain's Cafe and Captain's Bar and Grill have become staples in the Murray Hill location! 
A family owned business with Turkish roots brings about a diverse menu including traditional American and Turkish food. 
Our Kebabs are all prepped in house with the owner and chef seasoning meats daily. Every one of our fresh cuts are char-grilled to perfection. They go down smoothly with our 20+ draft selection!
Not in the mood to drink or watch live sports? Hang out in our cafe and have some freshly brewed coffee or tea!","https://www.google.com/maps/dir//Captain%27s+Cafe+Bar+and+Grill+New+York,+NY/data=!4m8!4m7!1m0!1m5!1m1!1s0x89c259a83906aaab:0x6dc3f8e55a47d030!2m2!1d-73.98420159999999!2d40.747162599999996","https://lh3.googleusercontent.com/p/AF1QipOEsrHtE45r6g2udxmQuXJnYQKeRcl-41mJ0Nk5=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipOQWE5ySnpMS4gkJvfsTteC7mlmhO_Zcjz6XJuV=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipO9mto54phfkB3qS_Z2vZw8mAbpw75A2vxohLuM=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipNvo38EjtPUscSwwUMmfVbvToTUgs8cKdx3draA=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipORlwS40aGEA59aWRWS7EDbwUVgpA5PwbZcZm_x=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipN5OI6nXtDdqfery8Rx-gZtYrxHSJEsE-eBEK-n=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipMUnrMIJ6-oBO3njrDERHi-U7yQ5inpOYbwbZWd=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipMg3GvJ7S5LKYw__7btqdzgJWAqiFFRxgWAx9MX=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipOI0x2KwXFw7dRiEGGF3Wet1SWvyPP8cCjZrvLF=w768-h768-n-o-v1",https://lh3.googleusercontent.com/p/AF1QipOI0x2KwXFw7dRiEGGF3Wet1SWvyPP8cCjZrvLF=w1080-h608-p-no-v0,"https://www.google.com/maps/place/Captain%27s+Cafe+Bar+and+Grill+New+York,+NY/data=!3m1!4b1!4m2!3m1!1s0x89c259a83906aaab:0x6dc3f8e55a47d030",https://captains-bar-and-grill-new-york-ny.business.site/,"Bar & Grill in New York, 18 East 33rd Street, New York, NY",tel:+1-212-779-0003,"""I got the frozen coquito, mariah- Peary and persimmply the best from the christmastime cocktail list. I will be back for the rest. Ricky was an incredible bartender, thanks Ricky"" - Jessie D, ""Great energy employees fast and kind good food and bar service top notch great drinks will always come back"" - tyquane j, ""Captains is a magical place. Better than Disney.
You can’t walk in there and not have a good time. It’s fluorescent blue light really makes you feel like you’re walking into the gates of heaven.  I don’t know another place where you can order a whole branzino, take a gummy bear shot, pet a dog and sing karaoke. As a native New Yorker, I’ve been to a lot of bars here and Captains is one of my favorites. 10/10 would recommend."" - Tiara P",Captain's Cafe Bar and Grill 
"51 Bell Road, Hounslow, TW3 3NX, UK","Mon: 9:00AM - 8:00PM, Tue: 9:00AM - 8:00PM, Wed: 9:00AM - 8:00PM, Thu: 9:00AM - 8:00PM, Fri: 9:00AM - 8:00PM, Sat: 9:00AM - 8:00PM, Sun: 9:00AM - 8:00PM",Get Quote -> None,07393 208527,"None
Welcome to our barber shop. Whatever your needs may be, get in touch with us today for more details about our products and services. We look forward to meeting you.",https://www.google.com/maps/dir//New+York+Gents+Grooming/data=!4m8!4m7!1m0!1m5!1m1!1s0x48760d4c24e77709:0x97dfb7475986cec9!2m2!1d-0.36467839999999996!2d51.466069,"https://lh3.googleusercontent.com/p/AF1QipPImOsjhLib8yxyGhPqU327T-cNrmG6Zayt07-D=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipNQIsMtzqdxyfmI6zuDXxUPK0liTs5PG__r76ta=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipNnUUPfE3dcKbolz3Toibh7rbMdmC1xKf4HzHDP=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipPvp4MhxMdcJUGVAoVrilqI3e0wczr74kHx4VwD=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipMPslXtgv6A3haAKGq8Bk9Eftk3cv8iaW3iP2wF=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipP0E6iC06A0KCtdp_eghIUkD-YIpPfFUrNbLdF_=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipOgyrXwKC3NtWU33yxlVgOLi7v-CB_0Ri8l95PF=w768-h768-n-o-v1",https://www.gstatic.com/bfe/apps/website/img/h/111218107-barber-tools-1440.jpg,https://www.google.com/maps/place/New+York+Gents+Grooming/data=!3m1!4b1!4m2!3m1!1s0x48760d4c24e77709:0x97dfb7475986cec9,https://new-york-gents-grooming.business.site/,"Barber Shop in Hounslow, Opening at 9:00 AM",tel:+44-7393-208527,,New York Gents Grooming
"h/no. 041 khaprail Bazaar, West Bengal 734009, India","Mon: 11:30AM - 8:30PM, Tue: 11:30AM - 8:30PM, Wed: 11:30AM - 8:30PM, Thu: 11:30AM - 8:30PM, Fri: 11:30AM - 8:30PM, Sat: 11:30AM - 8:30PM, Sun: 11:30AM - 8:30PM",Contact Us -> None,085974 35436,"American Bakery & Coffee
Custom made-by-order cakes, American-style pastries, & Mizoram grown coffee, all made & served with love and excellence. Located in Khaprail Bazaar, a short drive from Siliguri Center.",https://www.google.com/maps/dir//New+York+City+Cafe+and+Bakery/data=!4m8!4m7!1m0!1m5!1m1!1s0x39e4478d47632039:0x94b0988af88559d0!2m2!1d88.3379346!2d26.7652722,"https://lh3.googleusercontent.com/p/AF1QipNDQizT3zQJc8H8SZVxrafDZbr4e2671tjG1-jF=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipMKKCSY9FPhf017v5HE4MYhTmqa_eGRMpRaHwGD=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipMcpBuDmycATgmECRW6i9Iju61YR1jfTiLNyps5=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipPTY1Sb-3PKIXEQZf9CPSAK0MyfcAFaX37cG0is=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipPDtQBUEpgZYwVoi4QCO4xie9zl2xQcbsHM2WjZ=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipPg-R2iF7J-GhWRMxbJcA7Z225I27GxJgbtC9YQ=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipMfowPXPS4yOb6_4btNadPivKHwrAa8DELyv6dD=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipMVCwZwVLVLrFtORVJR8XIrAcMjaVIvT_U3rY0i=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipPgsHqst98FZ25LGmxexi12q6uhJkuEYEd4e9DU=w768-h768-n-o-v1",https://lh3.googleusercontent.com/p/AF1QipPcKLV9VPoUTJLbpHTkicK9y65dh4WDSMhX5FY6=w1080-h608-p-no-v0,https://www.google.com/maps/place/New+York+City+Cafe+and+Bakery/data=!3m1!4b1!4m2!3m1!1s0x39e4478d47632039:0x94b0988af88559d0,https://nyc-cafe-bakery-siliguri.business.site/,"Cafe & Bakery in Siliguri, @ Khaprail Bazaar , Open today until 8:30 PM",tel:+91-85974-35436,"""Amazing cake. I never expected this sort of quality. Mind-blowing cake.  It's a very genuine review from my side. One of the best cakes i have ever eaten. Very close by from somnath enclave. Best for fauji parties and we all should give them multiple bookings. She didn't ask for money even after delivery as my mother and my best friend who ordered the cake were not sure about the quality. So she told them to pay after u tasted the cake. Fhungbilla is doing a commendable job ✌️✌️🎉🎉🥳🥳🙏🙏"" - Bhoomi S, ""Its a great place to hangout with frens. Away frm the hassles of the city. The coffee is great. And they also serves a varieties of sweets, cakes and pastries. And the price is almost half of what we pay elsewhere.

I would highly recommend the coffee house for its cozy ambience and for its great coffee& sweets at a super affordable prices."" - Donald L, ""Good coffe for a reasonable price.
Though the place is small, but great service and comfortable.
They also serve the customised cakes for weddings and special occasions.
The best wedding cake was delivered to our wedding. It was so presentable and inexpensive too.."" - Praveen N",New York City Cafe and Bakery
"586 Bound Brook Road, Middlesex, NJ 08846, USA","Mon: 11:00AM - 11:30PM, Tue: 11:00AM - 11:30PM, Wed: 11:00AM - 11:30PM, Thu: 11:00AM - 11:30PM, Fri: 11:00AM - 11:30PM, Sat: 11:00AM - 11:30PM, Sun: 11:00AM - 11:30PM",Call  -> tel:+1-732-752-9600,(732) 752-9600,"None
",https://www.google.com/maps/dir//New+York+Chicken+And+Grill-+Halal/data=!4m8!4m7!1m0!1m5!1m1!1s0x89c3b956628f6e77:0x8d6320b80f39406!2m2!1d-74.4884175!2d40.582356399999995,"https://lh3.googleusercontent.com/p/AF1QipN4Tq7rIj-Yisxn3PGX8zu_yEQKVxNk9jB-j_oR=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipMWL6GsVYlAWcd6I2SrarzuWwWIe1Ibe4zyKN29=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipOiltHY-7_1IQSVNFv90IEhBJCqQzNev-4_2pww=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipMtOy-9Weq0Qw26Qknu2ouHoxLBrOmSzNjuw9hI=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipNvLTZPBiUgS4Rw5L63pXStJKVgazwUX-CKmzcg=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipMp74TXiwtTtMZE6ZUSJyvtf_4BZkHfboj0oPUS=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipODNWNKpcXIcU4p7h87P3C4UQfnbGzewF1qWeRN=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipMq2OQokBDDxHlcFxWiQY1ph5afUcqblYHF-gdl=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipO3I_TwQcLqOnsE3QVtUqqOf1A93upIx26a9jm1=w768-h768-n-o-v1",https://lh3.googleusercontent.com/p/AF1QipO3I_TwQcLqOnsE3QVtUqqOf1A93upIx26a9jm1=w1080-h608-p-no-v0,https://www.google.com/maps/place/New+York+Chicken+And+Grill-+Halal/data=!3m1!4b1!4m2!3m1!1s0x89c3b956628f6e77:0x8d6320b80f39406,https://new-york-chicken-and-grill-halal.business.site/,"Fast Food Restaurant in Middlesex, Opening at 11:00 AM tomorrow",tel:+1-732-752-9600,,New York Chicken And Grill- Halal
"66 Loisaida Avenue, New York, NY 10009, USA","Mon: 9:00AM - 9:00PM, Tue: 9:00AM - 9:00PM, Wed: 9:00AM - 9:00PM, Thu: 9:00AM - 9:00PM, Fri: 9:00AM - 9:00PM, Sat: 9:00AM - 9:00PM, Sun: 9:00AM - 9:00PM",Get Quote -> None,(212) 473-1882,"None
",https://www.google.com/maps/dir//Casa+Adela/data=!4m8!4m7!1m0!1m5!1m1!1s0x89c259713bde19e7:0x6af921473f7e23cb!2m2!1d-73.9796495!2d40.722609999999996,"https://lh3.googleusercontent.com/p/AF1QipN7fKFqcjjwPUFUjjAmm1QPyn4m0k67ywI_PrCc=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipPB6uogCr4StN1YMTv97DHE8_BXXfIZCauNPcsQ=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipPGieZltzptwjALZGWZn7fr52RY_pRjpo4h0uN1=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipP0Kil3tzPUVOTd9fX_P5Bw8DNb83M2f_PLZQS0=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipP1I4GgTkdQpFlpJ4RLT6TeLIfra3oBRnlTXQp6=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipPaiLo6nlBJ_u6tbqhwZxfBye49tLxCNoYWwlcp=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipOGea1MqwmROfFEeiCsep71Eii6NnowXAGeJgUf=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipNEe6w-1NSxtOdtdZlFwvEmbrUxXI_pmtpdQmop=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipP37URRf2Ede52T8Xv7sE8GD_7dabeshR76CXUn=w768-h768-n-o-v1",https://lh3.googleusercontent.com/p/AF1QipMR8Rfbq0n5_0zk8ZW0Fhwzqu2auuzaTOtIgLDM=w1080-h608-p-no-v0,https://www.google.com/maps/place/Casa+Adela/data=!3m1!4b1!4m2!3m1!1s0x89c259713bde19e7:0x6af921473f7e23cb,https://casa-adela-puerto-rican-restaurant.business.site/,"Puerto Rican Restaurant in New York, Opening at 9:00 AM",tel:+1-212-473-1882,"""Right off the jump you can tell this is the definition of a local place with people constantly coming in and out to grab to go orders. It’s a very small CASH ONLY restaurant with only about 5 tables so expect a wait. As a party of 2 on a Monday we waited about 20 minutes, but we’re encouraged to look at the menu and put our order in so the food could come out soon after we sat down (took about 10 min). We ordered 2 half chickens which came with beans and rice, a side of roast pork, octopus salad, and a chicken noodle soup. The chicken was solid and flavorful, I chose the yellow rice while my friend chose the yellow rice with peas (I recommend the ladder if you like beans). My friend and I both chose the black beans, let me tell you as a non bean eater these kind of wowed me in a simplistic manner as they had a subtle yet complex flavor to them. For me just a side of the roast pork was perfect as it was very good just rich. My friend got the chicken noodle soup which was very good. W..."" MDH, ""We had the pleasure of dining at their restaurant before, where the food impressed us.

When we reached out for catering at our baby shower, they not only met but exceeded our expectations. The exquisite food truly made our event extra special.

Thank you immensely for your outstanding service."" - Jose H, ""The food was very good. We had pork chops, yellow rice, plantains, and beans. We ate everything and left nothing In our containers at the end of the night.

We took the train over from Manhattan to the area just for this restaurant. It had been recommended to us by a Brooklyn Native.

Located next-door to a liquor store on one side and a home on the other. Nice and quiet area and not too many people out.Because Of the decorations, the place is easy to find and is highly visible from the outside.

When we walked up, there was a man outside tidying up . He greeted us and let us know that we were in the right place for a good meal. He asked us what we wanted, told us history about place and then led us inside so that we can see the menu.

When we got up to the counter, we were greeted by the cashier who was very  were very patient as we tried to figure out exactly what we wanted. Everyone we talked to was extremely friendly and didn’t mind giving recommendations according to what we sa..."" - Toni S",Casa Adela
"4835 South Memorial Drive, Tulsa, OK 74145, USA","Mon: 10:00AM - 7:00PM, Tue: 10:00AM - 7:00PM, Wed: 10:00AM - 7:00PM, Thu: 10:00AM - 7:00PM, Fri: 10:00AM - 7:00PM, Sat: 10:00AM - 7:00PM, Sun: 10:00AM - 7:00PM",Get Quote -> None,(918) 664-7728,"Tulsa's Premier Fashion Clothing Store
",https://www.google.com/maps/dir//Styles+Of+New+York/data=!4m8!4m7!1m0!1m5!1m1!1s0x87b68d68cc983c1d:0x7472ae1619345119!2m2!1d-95.8860965!2d36.0932373,"https://lh3.googleusercontent.com/p/AF1QipPag76C-LvWVGvowF-U0f-Hzr6i_Wvk-hopC74s=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipNLwqq7yE5rP2iZyB68OloGo0pJymKBWQkWMA65=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipNKoSiQQPU6X4vAp9iX0b2dsKqj4qR7L-5RtxEP=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipM1aSi6hosCS7Hp2cOJfZqqTRCPxtz_81BBafdI=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipPsGYZFcHYRUMiOzoCruOZRm9kD6iyJokYUqUxs=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipNJIPPnILEZHNO6ucoqura6LHhFAs6W0wwLwUvI=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipPPpU9YWjjHmGnmdaC2TcXNSfu6o-CWTehdrTK0=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipNK6JJ6OiRjgINlTlOC3OAl0mZRa69VxfNj4iGl=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipO9XXwC8vPfU7C_2tIgCVr3kFSe8GhByiwty_CN=w768-h768-n-o-v1",https://lh3.googleusercontent.com/p/AF1QipN6IG--b7mywMJtogIQTGDleXoCyZZgjv-jaA1j=w1080-h608-p-no-v0,https://www.google.com/maps/place/Styles+Of+New+York/data=!3m1!4b1!4m2!3m1!1s0x87b68d68cc983c1d:0x7472ae1619345119,https://styles-of-new-york.business.site/,"Men's and Women's Fashion Clothing in Tulsa, Opening at 10:00 AM",tel:+1-918-664-7728,"""We love this place! The owner is so helpful & kind! My husband searched all over to find a tuxedo with tails (which is not the current style so no one had them) But when we came here, he helped my husband try many suits but once he mentioned he wanted one with tails, He said he would check the backroom as he thought there may be 1 in there somewhere & it just so happened that the 1 in back stock was a perfect fit. The owner truly went out of his way to make sure my husband felt the very best on our wedding day! We will continue to buy suits here in the future. Great selections, prices are great and overall a fantastic experience! Highly recommend."" - Melaine F, ""I came in to get a suit for a wedding on short notice, and Alex helped pick out a great, classic suit. There were seemingly endless choices he had in stock but with his recommendations I left very happy. Admittedly, I’m a bit lost when it comes to styling, and Alex was more than happy to give me some advice. He even recommended a tailor, so I could hem the pants same day. Next time I need a suit, this will be my one and only stop!"" - Carson H, ""This place has really great stuff. The owner knows what he's doing, and he can get the fat boy sizes that I need. And the prices are quite reasonable."" - Brian G",Styles Of New York
"500 Lexington Avenue, New York, NY 10017, USA","Mon: 10:00AM - 8:00PM, Tue: 10:00AM - 8:00PM, Wed: 10:00AM - 8:00PM, Thu: 10:00AM - 8:00PM, Fri: 10:00AM - 8:00PM, Sat: 10:00AM - 8:00PM, Sun: 12:00 - 7:00PM",Get Quote -> None,(212) 759-5857,"None
",https://www.google.com/maps/dir//Beekman+Liquor/data=!4m8!4m7!1m0!1m5!1m1!1s0x89c258fd715ce8cd:0xb73d2e35a96f06f5!2m2!1d-73.9738965!2d40.754914299999996,"https://lh3.googleusercontent.com/p/AF1QipOAOaBPKuiwZfj-fCNc-huKrqcN23bh3R_GFf0I=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipORVKlJCVYe-zSQ2VfIubuBCqmJatknN0g3r1vs=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipOZ98w32nWINihpv0F3IjnHu3b1_89tRh0H9LJS=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipPlXdbwXfjVd8B87tLrAML6lNh0qmXYQarPdCo-=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipPTAlODl2hqjuFv2gh_gtiuEa-GhzANSS9Ad9XL=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipMDdXSBVoiBEE9KqNslIlmJBdKn6zJcAXCDhj_1=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipOBBdIvvDqhceIf_uoa2F2h61uJpTnrfvKrnSEK=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipP6Ahxzy-vIdi1u9Ndq4cjZb3P-8jXqw6-CvP5n=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipNn_HrE0Uo9w1rOPb-8WL1p4hGyUGiA2BIG45fx=w768-h768-n-o-v1",https://lh3.googleusercontent.com/p/AF1QipPDDQZt5e3-1JqVmjWLSu1qIfQx2XJrN6F-cmjd=w1080-h608-p-no-v0,https://www.google.com/maps/place/Beekman+Liquor/data=!3m1!4b1!4m2!3m1!1s0x89c258fd715ce8cd:0xb73d2e35a96f06f5,https://beekmanliquor.business.site/,"Liquor Store in New York, Opening at 10:00 AM",tel:+1-212-759-5857,"""Lovely personalized service here. I’ve been popping around for many years to get my favorite red wines. It’s well stocked and I find that sometimes their prices are a dollar or more cheaper than other places.  Very friendly service and the staff have great product knowledge. It’s a true little gem In Manhattan
It’s a narrow shop with many different choices to suit your personal choice in alcoholic beverages"" - Andy B, ""David and his wife are extremely knowledgeable, and if you give them a budget up front they will never steer you wrong. They have one of the better liquor selections in the area, and aren't too expensive. Frequent tastings in the afternoons. No complaints."" - John P, ""Superb wine and spirits store with a knowledgeable and friendly staff. Cannot recommend highly enough. The neighborhood is lucky to have them."" - Peter S",Beekman Liquor
"183, Boundary Road, Civil Lines, Meerut Cantt, Meerut, Uttar Pradesh 250001, India","Mon: 11:00AM - 10:30PM, Tue: 11:00AM - 10:30PM, Wed: 11:00AM - 10:30PM, Thu: 11:00AM - 10:30PM, Fri: 11:00AM - 10:30PM, Sat: 11:00AM - 10:30PM, Sun: 11:00AM - 10:30PM",Get Quote -> None,075990 09999,"None
Drop by our cozy, kid-friendly pizza spot, where we serve-up a delicious menu which includes dessert. We also offer delivery. We look forward to welcoming you!",https://www.google.com/maps/dir//New+York+Pizza/data=!4m8!4m7!1m0!1m5!1m1!1s0x390c651c6c706a2f:0x784d5129d691889d!2m2!1d77.71538819999999!2d28.9964102,"https://lh3.googleusercontent.com/p/AF1QipMD3ckJInYltHhSqstkdn7RmUuyh1X4hL2X-2QT=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipNfASpzhpBEncIROxV0YKs_w0Td1nIMYSiCQWoA=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipOrouoyw1bzpVJFJh8HUwP2mLP-Rs38QKMKi35P=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipMfBf2_oqFRevpgtfBbzz_hhSTWtvjs4uVxmih4=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipOnQXEblOANMitWzIodAnUlOtD-W4-vC6lrgLNS=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipOH4QprNfolsCtZmJqWEHvZAT4FkFzvzFQRNud2=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipMEk-RQim2ZCeCbvKI8yoYckU9SfitC_6VHDBPJ=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipMOGqZSVq3-ZRMBo6NTP-j0cTWXt9gOL7BWBQHG=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipOHprFvv0CU7bIFCn8CItcTOp8x6b5gV8MK6V1L=w768-h768-n-o-v1",https://lh3.googleusercontent.com/p/AF1QipO8IGf4I8ncr0_n6F8Y8GDIx202kI3a-u5vXJcR=w1080-h608-p-no-v0,https://www.google.com/maps/place/New+York+Pizza/data=!3m1!4b1!4m2!3m1!1s0x390c651c6c706a2f:0x784d5129d691889d,https://new-york-slice-meerut.business.site/,"Restaurant in Meerut Cantt, Open today until 10:30 PM",tel:+91-75990-09999,"""Good place,  great food and really nice ambience to go on with a date. Just needs work on its service."" - Dr. B, ""I was there in 2021. I can't forget the food I ate there. Everything was just better than the previous item."" - Anjali S, ""This place is very good to come with your loved once.
Serving is osmm nd food quality is also good 💯"" - arjun s",New York Pizza
"177 1st Avenue, New York, NY 10003, USA","Mon: None, Tue: 12:00 - 10:00PM, Wed: 12:00 - 10:00PM, Thu: 12:00 - 10:00PM, Fri: 12:00 - 10:00PM, Sat: 12:00 - 10:00PM, Sun: 12:00 - 10:00PM",View Menu -> https://lhasa-tibetan-restaurant.business.site/?utm_source=gmb&utm_medium=referral,(917) 388-2230,"None
",https://www.google.com/maps/dir//Lhasa/data=!4m8!4m7!1m0!1m5!1m1!1s0x89c2594f8f9984e3:0x54fd1d41e88d87a8!2m2!1d-73.9843357!2d40.729385099999995,"https://lh3.googleusercontent.com/p/AF1QipN7Y_WV14PsoH-Ppbjt14RkRtg-qwrZlklVZPiB=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipM7ieFMWG0yf6ZIsRA-7OHAAfxrukmmk_NEzvVN=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipMMgLHcmNKoZl5i2ybXzftwJdWqdiSB8uTDmU_L=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipPDnMK3zVa2CJK3wpAehXvHE9G20K9ImPDoYM9d=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipPCnUIRcklVFVEA4Vrijl_EalqCgvOU4k_Z1sk5=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipPoH2Kfk17BbQogGCze49icRweBGuQcHrxXmrOY=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipPEE6NmNZUxH_HA8fhp8VuK262aza1Euv95SMq-=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipMeJ7rJRW_fqLk_pcNN2OBx9rLMvAANjWe2BQcB=w768-h768-n-o-v1, https://lh3.googleusercontent.com/p/AF1QipMAk3e8gQKu1pBFOOsEn0yBtwtDHrL3uqih11XT=w768-h768-n-o-v1",https://lh3.googleusercontent.com/p/AF1QipMAk3e8gQKu1pBFOOsEn0yBtwtDHrL3uqih11XT=w1080-h608-p-no-v0,https://www.google.com/maps/place/Lhasa/data=!3m1!4b1!4m2!3m1!1s0x89c2594f8f9984e3:0x54fd1d41e88d87a8,https://lhasa-tibetan-restaurant.business.site/,"Tibetan Restaurant in New York, Opening at 12:00 PM tomorrow",tel:+1-917-388-2230,"""Really enjoyed trying Tibetan food. This place is super chill and we just popped in without reservation to try something new. Their butter tea was like nothing I’ve ever tried! The food is a bit on the spicy side, so let the waiter know if that will be an issue for you and he will offer modifications. Overall, I recommend this place for a casual night out when you want to be adventurous with your food"" - Martina R, ""The food makes you feel happy !! Ordered the Momos (Veg combo) and by the end of my meal, I was a happy kid ❤️.

They also have CHAI !! And it’s decadent.

Service is top notch and place, though small, clean, serene, and peaceful.

Highly recommend"" - Zohra D, ""The best Tibetan food I’ve ever had. The meat was so flavorful and tender. I tried the beef and chive dumplings and the noodles with lamb. Our server was so lovely and I can’t wait to go back!"" - Hannah D",Lhasa
"Ekka Stand, Daliganj, Lucknow, Uttar Pradesh 226020, India","Mon: 10:00AM - 9:00PM, Tue: 10:00AM - 9:00PM, Wed: 10:00AM - 9:00PM, Thu: 10:00AM - 9:00PM, Fri: 10:00AM - 9:00PM, Sat: 10:00AM - 9:00PM, Sun: 10:00AM - 9:00PM",Get Quote -> None,098390 81559,"None
",https://www.google.com/maps/dir//NEW+YORK+TAILORS+%26+CLOTH+HOUSE/data=!4m8!4m7!1m0!1m5!1m1!1s0x399bfd1745d62f85:0x1d6065abe8fddfe9!2m2!1d80.9270033!2d26.869954699999997,,https://www.gstatic.com/bfe/apps/website/img/h/71904355-sewing-pins-1440.jpg,https://www.google.com/maps/place/NEW+YORK+TAILORS+%26+CLOTH+HOUSE/data=!3m1!4b1!4m2!3m1!1s0x399bfd1745d62f85:0x1d6065abe8fddfe9,https://new-york-tailors-cloth-house.business.site/,"Tailor in Daliganj, Opening at 10:00 AM tomorrow",tel:+91-98390-81559,,NEW YORK TAILORS & CLOTH HOUSE
